paper_item,source_path,destination_path,included,reason,needs_api_key,notes
neutral_multitool_real_llm/ (all CSVs),neutral_multitool_real_llm/,EXCLUDED,NO,Neutral-prompt experiment – generic prompts not PlanGate governance prompt,N/A,~400 raw CSVs excluded
neutral_real_llm/ (all CSVs),neutral_real_llm/,EXCLUDED,NO,Neutral-prompt experiment – same reason,N/A,~100 raw CSVs excluded
exp_real3_deepseek/_corrupted_backup/,exp_real3_deepseek/_corrupted_backup/,EXCLUDED,NO,Corrupted data from failed Deepseek runs,N/A,Explicitly named backup directory
log/_diag*.csv,log/,EXCLUDED,NO,Diagnostic/debug output not experimental results,N/A,
exp_week5_pilot/ (all CSVs),exp_week5_pilot/,EXCLUDED,NO,Pilot calibration runs superseded by C10/C40,N/A,Single-repeat pilots
exp_week2_smoke/,exp_week2_smoke/,EXCLUDED,NO,Early smoke test not a paper experiment,N/A,
Table 2: Commitment Quality (CSV),exp_week4_formal/week2_smoke_summary.csv,exp_week4_formal/week2_smoke_summary.csv,YES,Primary CSV used by scripts/_verify_paper_data.py for Commitment Quality verification,No,
exp_pp_smoke/,exp_pp_smoke/,EXCLUDED,NO,Smoke test for progress-priority not a paper experiment,N/A,
exp_week5_real_llm/,exp_week5_real_llm/,EXCLUDED,NO,Early 1-repeat pilot superseded by exp_week5_C10 (5 repeats),N/A,
exp_sbac30/,exp_sbac30/,EXCLUDED,NO,Exploratory SBAC-30 config not referenced in paper,N/A,
exp_conc_sweep_deepseek/,exp_conc_sweep_deepseek/,EXCLUDED,NO,Exploratory DeepSeek concurrency sweep not in paper whitelist,N/A,
exp_deepseek_n3/,exp_deepseek_n3/,EXCLUDED,NO,DeepSeek C=3 prototype not in paper whitelist,N/A,
exp_selfhosted_vllm_C10_W8/,exp_selfhosted_vllm_C10_W8/,EXCLUDED,NO,C=10 config; paper uses C=20 (exp_selfhosted_vllm_C20_W8),N/A,
exp11_bursty/ exp12_longtail/ exp2_heavyratio/ exp3_mixedmode/ exp5_scaleconc/ exp6_scaleconcreact/ exp7_clientreject/,multiple dirs,EXCLUDED,NO,Intermediate mock experiments not in final paper whitelist,N/A,~350 raw CSVs excluded
evolution_8runs.csv,evolution_8runs.csv,EXCLUDED,NO,8-round tuning evolution log not a standalone paper table/figure,N/A,
